Sort,Data filename,Start,End,Runtime (s),cpu_clk_unhalted.thread_any,cpu_clk_unhalted.thread_any:k,cpu_clk_unhalted.thread_any:u,cs,cs:k,cs:u,dtlb_load_misses.miss_causes_a_walk,dtlb_load_misses.miss_causes_a_walk:k,dtlb_load_misses.miss_causes_a_walk:u,dtlb_load_misses.walk_active,dtlb_load_misses.walk_active:k,dtlb_load_misses.walk_active:u,dtlb_store_misses.miss_causes_a_walk,dtlb_store_misses.miss_causes_a_walk:k,dtlb_store_misses.miss_causes_a_walk:u,dtlb_store_misses.walk_active,dtlb_store_misses.walk_active:k,dtlb_store_misses.walk_active:u,faults,faults:k,faults:u,inst_retired.any,inst_retired.any:k,inst_retired.any:u,migrations,migrations:k,migrations:u
0,/p/multifacet/users/markm/results3/cbmm/g/exp_10__bare_metal__-workload__Canneal____workload____Rand____size__530000000__uniform_dist__true__seed__null____-transparent_hugepage_enabled_never_-2021-11-12-22-22-30-451113687.mmu,none,none,16160.56858,48038867702619,587900297468,47463176562569,131164,131164,0,190578331342,1454809559,189134707671,19115409532679,75334080196,19039950922606,4453289027,415461853,4037892378,600089814336,16090563652,583778974999,40782534,5,40782529,10667503599259,298301093095,10371002415812,0,0,0
0,/p/multifacet/users/markm/results3/cbmm/g/exp_10__bare_metal__-workload__Canneal____workload____Rand____size__530000000__uniform_dist__true__seed__null____-transparent_hugepage_enabled_never_-2021-11-12-22-22-30-913125557.mmu,none,none,16011.11712,47599436286381,586291162083,47018249379356,127716,127716,0,190575475928,1307773027,189278929371,18970530031264,65423619486,18905969606513,4439439245,404073716,4035810498,590879819866,14647667135,576311404241,40782547,5,40782542,10670960608674,296816936210,10376249006861,0,0,0
0,/p/multifacet/users/markm/results3/cbmm/g/exp_10__bare_metal__-workload__Canneal____workload____Rand____size__530000000__uniform_dist__true__seed__null____-transparent_hugepage_enabled_never_-2021-11-12-22-22-31-298861059.mmu,none,none,16148.64583,47998570838659,564577107198,47436977678512,131086,131086,0,190036191008,759078593,189278839740,19070378596420,60065378127,19009518485830,4268606958,239395098,4029856792,592186637786,10660140163,581524818932,40782477,5,40782472,10615421014776,297236773717,10317089590980,0,0,0
0,/p/multifacet/users/markm/results3/cbmm/g/exp_10__bare_metal__-workload__Canneal____workload____Rand____size__530000000__uniform_dist__true__seed__null____-transparent_hugepage_enabled_never_-2021-11-12-22-22-31-809898475.mmu,none,none,16115.96169,47916903403634,569619532702,47354799718371,130740,130740,0,189620854271,752437605,188870311851,19086411238375,64113883634,19021936261316,4201544662,178271691,4023714047,591106717268,10175896617,581060140196,40782475,5,40782470,10664196100347,297582830256,10367594630623,0,0,0
0,/p/multifacet/users/markm/results3/cbmm/g/exp_10__bare_metal__-workload__Canneal____workload____Rand____size__530000000__uniform_dist__true__seed__null____-transparent_hugepage_enabled_never_-2021-11-14-17-28-13-562965663.mmu,none,none,16398.17895,48740953676544,592207710290,48153936204572,131599,131599,0,190676546667,1375909758,189303839212,19378857946376,75212689923,19302701384897,4398309218,359789559,4036907668,608478708839,15040215590,593359557310,40782639,5,40782634,10610634332671,301769344674,10309708976510,0,0,0
1,/p/multifacet/users/markm/results3/cbmm/h/exp_10__bare_metal__-workload__Canneal____workload____Rand____size__530000000__uniform_dist__true__seed__null____-transparent_hugepage_enabled_never_-transparent_hugepage_huge_addr__Ranges____ranges__-2021-11-16-00-59-57-383076484.mmu,0x0,0x7fd472000000,16116.64015,47911906995650,575471563039,47355803453094,128302,128302,0,189655415337,931571282,188730521486,19104221041424,67626656970,19036140480994,4237503852,226728687,4011036384,587885745772,11355239951,576571274298,40488211,5,40488206,10622790710384,299030710331,10325448672894,0,0,0
1,/p/multifacet/users/markm/results3/cbmm/h/exp_10__bare_metal__-workload__Canneal____workload____Rand____size__530000000__uniform_dist__true__seed__null____-transparent_hugepage_enabled_never_-transparent_hugepage_huge_addr__Ranges____ranges__-2021-11-16-01-00-00-525444634.mmu,0x0,0x7fd472000000,16260.84355,48303651600872,573646256921,47737154642145,129775,129775,0,190741992822,900282516,189844687220,19268278942808,65379269471,19203417459713,4243268003,225907566,4016591951,594600425620,10851954110,583669579117,40757921,5,40757916,10600054233091,308345482582,10294309497713,0,0,0
1,/p/multifacet/users/markm/results3/cbmm/h/exp_10__bare_metal__-workload__Canneal____workload____Rand____size__530000000__uniform_dist__true__seed__null____-transparent_hugepage_enabled_never_-transparent_hugepage_huge_addr__Ranges____ranges__-2021-11-16-01-00-00-928028088.mmu,0x0,0x7fd472000000,16444.20707,48891373402094,569878160209,48323529616016,133468,133468,0,189831314338,693063405,189139700972,19489220493865,49379191399,19440367350128,4199164765,181465290,4017834139,600229167276,10062193002,590187710121,40488477,5,40488472,10631046993244,300577346216,10329869657597,0,0,0
1,/p/multifacet/users/markm/results3/cbmm/h/exp_10__bare_metal__-workload__Canneal____workload____Rand____size__530000000__uniform_dist__true__seed__null____-transparent_hugepage_enabled_never_-transparent_hugepage_huge_addr__Ranges____ranges__-2021-11-16-01-00-37-242571065.mmu,0x0,0x7fd472000000,16265.26242,48335551390254,610071255198,47731316111362,131976,131976,0,191207763615,1634257228,189586219962,19259404669698,85284409531,19174099298227,4443011961,405534300,4037768014,603509462109,15450074036,588095778891,40757562,5,40757557,10700088285192,307734454800,10392769649050,0,0,0
1,/p/multifacet/users/markm/results3/cbmm/h/exp_10__bare_metal__-workload__Canneal____workload____Rand____size__530000000__uniform_dist__true__seed__null____-transparent_hugepage_enabled_never_-transparent_hugepage_huge_addr__Ranges____ranges__-2021-11-16-01-00-37-696442159.mmu,0x0,0x7fd472000000,16338.52878,48521105216513,582718888082,47943397688844,131647,131647,0,190053743747,904878851,189149970461,19349428710878,57186122309,19290912055148,4257898077,235916841,4024678136,602560293125,11662587598,590895603256,40757986,5,40757981,10646449439765,307896774228,10336745065668,0,0,0
2,/p/multifacet/users/markm/results3/cbmm/h/exp_10__bare_metal__-workload__Canneal____workload____Rand____size__530000000__uniform_dist__true__seed__null____-transparent_hugepage_enabled_never_-transparent_hugepage_huge_addr__Ranges____ranges__-2021-11-16-01-01-09-961002093.mmu,0x7fd472000000,0x7fd4e3a00000,16203.05508,48087265070182,588070326098,47505685223727,129044,129044,0,189967705842,864576005,189103782305,19118364183318,59602757546,19058775600385,4260205722,232958661,4027834453,593424481362,10821390512,582636195418,40758855,5,40758850,10663505119553,310623200574,10353543962958,0,0,0
2,/p/multifacet/users/markm/results3/cbmm/h/exp_10__bare_metal__-workload__Canneal____workload____Rand____size__530000000__uniform_dist__true__seed__null____-transparent_hugepage_enabled_never_-transparent_hugepage_huge_addr__Ranges____ranges__-2021-11-16-01-03-16-520078743.mmu,0x7fd472000000,0x7fd4e3a00000,16048.22846,47708386988205,557652804016,47153308011873,128091,128091,0,190214853813,902017518,189307411434,19012531398057,64915808182,18946289118030,4236714535,223431304,4013952867,582005008775,10705604417,571420901689,40328536,5,40328531,10637210371171,296638688196,10339737169190,0,0,0
2,/p/multifacet/users/markm/results3/cbmm/h/exp_10__bare_metal__-workload__Canneal____workload____Rand____size__530000000__uniform_dist__true__seed__null____-transparent_hugepage_enabled_never_-transparent_hugepage_huge_addr__Ranges____ranges__-2021-11-16-01-03-16-958762534.mmu,0x7fd472000000,0x7fd4e3a00000,16490.26416,48988656192197,602819969509,48394376231462,148199,148199,0,190467811940,923702290,189533773789,19559021921710,65347934893,19492607387925,4260954139,232527863,4027179470,604227490529,11604393863,592569424134,40762292,5,40762287,10640752492967,313181520350,10326835146038,0,0,0
2,/p/multifacet/users/markm/results3/cbmm/h/exp_10__bare_metal__-workload__Canneal____workload____Rand____size__530000000__uniform_dist__true__seed__null____-transparent_hugepage_enabled_never_-transparent_hugepage_huge_addr__Ranges____ranges__-2021-11-16-01-04-20-572419518.mmu,0x7fd472000000,0x7fd4e3a00000,16022.65348,47640981115509,564704082627,47078226151386,129190,129190,0,190507820014,982447913,189526011858,18987988792147,69216845680,18918673167392,4252903016,232975661,4024603786,580332325948,11936132158,568369778826,40328723,5,40328718,10609944321538,296459419446,10314050530667,0,0,0
2,/p/multifacet/users/markm/results3/cbmm/i/exp_10__bare_metal__-workload__Canneal____workload____Rand____size__530000000__uniform_dist__true__seed__null____-transparent_hugepage_enabled_never_-transparent_hugepage_huge_addr__Ranges____ranges__-2021-11-21-19-32-13-304523496.mmu,0x7fd472000000,0x7fd4e3a00000,16437.09675,48849342106916,594219008123,48262927256441,132412,132412,0,190506955827,1052717841,189452183096,19457485420271,67117647255,19390350459813,4315231749,283579041,4031637637,602613267085,11691909469,590789923239,40763704,5,40763699,10636739581528,313778144752,10325162894343,0,0,0
3,/p/multifacet/users/markm/results3/cbmm/h/exp_10__bare_metal__-workload__Canneal____workload____Rand____size__530000000__uniform_dist__true__seed__null____-transparent_hugepage_enabled_never_-transparent_hugepage_huge_addr__Ranges____ranges__-2021-11-16-01-07-32-799999155.mmu,0x7fd4e3a00000,0x7fd555400000,16095.06719,47778163640340,574666029556,47206712360631,129833,129833,0,189677713870,841405250,188820477481,19032726407926,64339686969,18967312264026,4207448762,190709416,4017406013,587226122645,11225712308,576157609517,40759076,5,40759071,10655538679411,308093627343,10346687599227,0,0,0
3,/p/multifacet/users/markm/results3/cbmm/h/exp_10__bare_metal__-workload__Canneal____workload____Rand____size__530000000__uniform_dist__true__seed__null____-transparent_hugepage_enabled_never_-transparent_hugepage_huge_addr__Ranges____ranges__-2021-11-16-01-07-33-312986148.mmu,0x7fd4e3a00000,0x7fd555400000,16187.65505,48114914953146,571674233456,47548321178682,132934,132934,0,189738497933,879334241,188856494615,19181294507203,59038110281,19121560663957,4204926006,187523263,4018158257,593414725507,10665475793,582881943198,40328618,5,40328613,10621190935116,299204881818,10322063615671,0,0,0
3,/p/multifacet/users/markm/results3/cbmm/h/exp_10__bare_metal__-workload__Canneal____workload____Rand____size__530000000__uniform_dist__true__seed__null____-transparent_hugepage_enabled_never_-transparent_hugepage_huge_addr__Ranges____ranges__-2021-11-16-01-08-37-269305975.mmu,0x7fd4e3a00000,0x7fd555400000,16132.49837,47929549111924,572823622949,47361209858510,130945,130945,0,189656874882,891663871,188760823096,19068189368427,65126792580,19002418476512,4257659519,233713484,4023761958,590490211525,11040273009,579434612488,40759088,5,40759083,10701895165245,310337751907,10392912707238,0,0,0
3,/p/multifacet/users/markm/results3/cbmm/h/exp_10__bare_metal__-workload__Canneal____workload____Rand____size__530000000__uniform_dist__true__seed__null____-transparent_hugepage_enabled_never_-transparent_hugepage_huge_addr__Ranges____ranges__-2021-11-16-01-10-41-589721777.mmu,0x7fd4e3a00000,0x7fd555400000,16826.2153,49976008402963,623557535193,49358231531086,135206,135206,0,190994969661,1726605206,189271715265,19906885078992,87790819216,19817917067004,4585441623,532140385,4052236008,618728460284,18694160637,599931327483,40759031,5,40759026,10658541708264,316247264496,10343168428028,0,0,0
3,/p/multifacet/users/markm/results3/cbmm/i/exp_10__bare_metal__-workload__Canneal____workload____Rand____size__530000000__uniform_dist__true__seed__null____-transparent_hugepage_enabled_never_-transparent_hugepage_huge_addr__Ranges____ranges__-2021-11-21-19-30-00-931834304.mmu,0x7fd4e3a00000,0x7fd555400000,16354.56946,48586949085653,592767924363,48000122392149,130545,130545,0,190066575898,1044434470,189034569075,19344320144681,67476509005,19277092004095,4278506439,243433582,4036179963,603403454205,11464457979,591988300629,40759050,5,40759045,10624624194395,311997068480,10310525736185,0,0,0
4,/p/multifacet/users/markm/results3/cbmm/h/exp_10__bare_metal__-workload__Canneal____workload____Rand____size__530000000__uniform_dist__true__seed__null____-transparent_hugepage_enabled_never_-transparent_hugepage_huge_addr__Ranges____ranges__-2021-11-16-01-12-15-576166990.mmu,0x7fd555400000,0x7fd5c6e00000,16222.78753,48167676971631,600559554864,47572022646392,131743,131743,0,190581458588,1373353610,189206035809,19201125008481,73953651000,19126216981443,4430475682,403997442,4026340707,601271563264,15605211476,585681153913,40758886,5,40758881,10688131573775,310509556989,10377687430634,0,0,0
4,/p/multifacet/users/markm/results3/cbmm/h/exp_10__bare_metal__-workload__Canneal____workload____Rand____size__530000000__uniform_dist__true__seed__null____-transparent_hugepage_enabled_never_-transparent_hugepage_huge_addr__Ranges____ranges__-2021-11-16-01-13-32-701898325.mmu,0x7fd555400000,0x7fd5c6e00000,16257.27886,48301180199350,594131201465,47710990658792,129745,129745,0,190609398950,927158960,189695760277,19297801669227,65642999622,19231271163398,4273060709,234354105,4038014811,602427056794,11660302350,590748884833,40758999,5,40758994,10610670689341,310718842888,10301299143283,0,0,0
4,/p/multifacet/users/markm/results3/cbmm/h/exp_10__bare_metal__-workload__Canneal____workload____Rand____size__530000000__uniform_dist__true__seed__null____-transparent_hugepage_enabled_never_-transparent_hugepage_huge_addr__Ranges____ranges__-2021-11-16-01-13-33-049961882.mmu,0x7fd555400000,0x7fd5c6e00000,16283.03249,48348395667269,591630977371,47772084160758,131207,131207,0,190280722767,863239778,189422999310,19287513917392,70620718339,19216132586507,4238291521,205296148,4033104671,599085808983,11073654036,587915839638,40760026,5,40760021,10675108165882,311763160542,10364966015005,0,0,0
4,/p/multifacet/users/markm/results3/cbmm/h/exp_10__bare_metal__-workload__Canneal____workload____Rand____size__530000000__uniform_dist__true__seed__null____-transparent_hugepage_enabled_never_-transparent_hugepage_huge_addr__Ranges____ranges__-2021-11-16-01-13-33-513851815.mmu,0x7fd555400000,0x7fd5c6e00000,16049.797,47712455529514,611990681690,47113069501717,128970,128970,0,190403522678,1528130727,188882134653,18992360571157,83096143277,18909377101589,4453253765,410134766,4042582290,592440513384,15427606768,577083322966,40758743,5,40758738,10663577613307,308799123756,10356638607434,0,0,0
