Sort,Data filename,Start,End,Runtime (s),cpu_clk_unhalted.thread_any,cpu_clk_unhalted.thread_any:k,cpu_clk_unhalted.thread_any:u,cs,cs:k,cs:u,dtlb_load_misses.miss_causes_a_walk,dtlb_load_misses.miss_causes_a_walk:k,dtlb_load_misses.miss_causes_a_walk:u,dtlb_load_misses.walk_active,dtlb_load_misses.walk_active:k,dtlb_load_misses.walk_active:u,dtlb_store_misses.miss_causes_a_walk,dtlb_store_misses.miss_causes_a_walk:k,dtlb_store_misses.miss_causes_a_walk:u,dtlb_store_misses.walk_active,dtlb_store_misses.walk_active:k,dtlb_store_misses.walk_active:u,faults,faults:k,faults:u,inst_retired.any,inst_retired.any:k,inst_retired.any:u,migrations,migrations:k,migrations:u
0,/p/multifacet/users/markm/results3/cbmm/g/exp_10__bare_metal__-workload_Spec2017Mcf_-transparent_hugepage_enabled_never_-2021-11-12-22-22-23-815134659.mmu,none,none,840.3954257,2498215637636,26469832364,2471655219838,562,562,0,3493936845,40006555,3453505904,144958309691,2098840012,142638384201,790549566,18453918,773195374,38324418002,821512432,37640396773,3409904,4,3409900,1724947363983,17436119719,1706894196123,0,0,0
0,/p/multifacet/users/markm/results3/cbmm/g/exp_10__bare_metal__-workload_Spec2017Mcf_-transparent_hugepage_enabled_never_-2021-11-14-17-28-11-464315944.mmu,none,none,839.5101821,2495398104828,25635049650,2470213692929,504,504,0,3442545388,19233953,3429522255,143268840391,1352767879,142030119659,786674138,10290848,773863005,38316941457,616156638,37596289818,3409904,4,3409900,1723608976643,17902812050,1706105733918,0,0,0
0,/p/multifacet/users/markm/results3/cbmm/g/exp_10__bare_metal__-workload_Spec2017Mcf_-transparent_hugepage_enabled_never_-2021-11-14-17-28-11-647141754.mmu,none,none,839.3212729,2495969019651,25216117325,2471162322898,553,553,0,3449558896,17037776,3428777186,143279511350,1235065126,141874366971,785532781,9718046,778009136,38251050033,578877980,37738937529,3409904,4,3409900,1724571504638,17561581852,1706631045531,0,0,0
0,/p/multifacet/users/markm/results3/cbmm/g/exp_10__bare_metal__-workload_Spec2017Mcf_-transparent_hugepage_enabled_never_-2021-11-14-17-28-12-069501888.mmu,none,none,840.0612837,2497836962464,25801789649,2471658790657,494,494,0,3463941452,19031471,3428705192,144207440995,1374178233,142230005329,783532335,11213232,771614119,38420760098,712486756,37596172179,3409904,4,3409900,1725261081413,16982106881,1707141685669,0,0,0
0,/p/multifacet/users/markm/results3/cbmm/g/exp_10__bare_metal__-workload_Spec2017Mcf_-transparent_hugepage_enabled_never_-2021-11-14-17-33-17-914999267.mmu,none,none,840.1733128,2497638893707,25488258895,2472110022393,509,509,0,3447754682,17680433,3435672134,143595284311,1238901864,142340443212,786555728,11080341,773746271,38550893271,697162396,37726822050,3409904,4,3409900,1723697141433,17074707201,1706960888563,0,0,0
1,/p/multifacet/users/markm/results3/cbmm/h/exp_10__bare_metal__-workload_Spec2017Mcf_-transparent_hugepage_enabled_never_-transparent_hugepage_huge_addr__Ranges____ranges____0_140729380765696____-2021-11-15-17-01-30-855873553.mmu,0x0,0x7ffe1cc00000,839.0392112,2494707958390,25715422431,2469584664131,502,502,0,3392397460,20218732,3379007058,141527491502,1668861934,139820558915,750713532,11345024,738092390,36931883486,728675172,36207046935,3392529,4,3392525,1724370285472,17164929254,1706666266149,1,1,0
1,/p/multifacet/users/markm/results3/cbmm/h/exp_10__bare_metal__-workload_Spec2017Mcf_-transparent_hugepage_enabled_never_-transparent_hugepage_huge_addr__Ranges____ranges____0_140729380765696____-2021-11-15-17-02-04-388719327.mmu,0x0,0x7ffe1cc00000,838.0045261,2492074713628,25187949221,2466602784081,457,457,0,3396057408,19347773,3370402400,140942646777,1519991358,138913787496,756371721,11902293,744599823,36848055039,648374859,36313494831,3392529,4,3392525,1724211101677,17016554429,1708699778458,0,0,0
1,/p/multifacet/users/markm/results3/cbmm/h/exp_10__bare_metal__-workload_Spec2017Mcf_-transparent_hugepage_enabled_never_-transparent_hugepage_huge_addr__Ranges____ranges____0_140729380765696____-2021-11-15-17-02-04-876531869.mmu,0x0,0x7ffe1cc00000,835.5375151,2483181332230,25229187329,2458296605597,554,554,0,3399106658,19217138,3382438296,140841929866,1516200660,139579344846,754790704,10786035,742264443,36691279705,702593779,36057058654,3392529,4,3392525,1723052682161,17197800191,1708601363461,1,1,0
1,/p/multifacet/users/markm/results3/cbmm/h/exp_10__bare_metal__-workload_Spec2017Mcf_-transparent_hugepage_enabled_never_-transparent_hugepage_huge_addr__Ranges____ranges____0_140729380765696____-2021-11-15-17-02-53-743020118.mmu,0x0,0x7ffe1cc00000,835.1830262,2483635242367,25583162816,2458671301399,461,461,0,3415173666,22627349,3378642579,140955500443,1760926220,138941546923,751448070,11525962,742102035,36880265000,749590371,36222846029,3392529,4,3392525,1724799534325,17549101277,1707428777072,0,0,0
1,/p/multifacet/users/markm/results3/cbmm/h/exp_10__bare_metal__-workload_Spec2017Mcf_-transparent_hugepage_enabled_never_-transparent_hugepage_huge_addr__Ranges____ranges____0_140729380765696____-2021-11-15-17-04-01-718640456.mmu,0x0,0x7ffe1cc00000,835.523048,2483375694530,25329529788,2458104629486,461,461,0,3396075316,16918257,3379874595,140610351847,1374831824,139313614293,754575615,10866497,744629905,36688007933,607821896,36147207313,3392529,4,3392525,1724821795751,17765589408,1705994893721,0,0,0
