Sort,Data filename,Start,End,Runtime (s),cpu_clk_unhalted.thread_any,cpu_clk_unhalted.thread_any:k,cpu_clk_unhalted.thread_any:u,cs,cs:k,cs:u,dtlb_load_misses.miss_causes_a_walk,dtlb_load_misses.miss_causes_a_walk:k,dtlb_load_misses.miss_causes_a_walk:u,dtlb_load_misses.walk_active,dtlb_load_misses.walk_active:k,dtlb_load_misses.walk_active:u,dtlb_store_misses.miss_causes_a_walk,dtlb_store_misses.miss_causes_a_walk:k,dtlb_store_misses.miss_causes_a_walk:u,dtlb_store_misses.walk_active,dtlb_store_misses.walk_active:k,dtlb_store_misses.walk_active:u,faults,faults:k,faults:u,inst_retired.any,inst_retired.any:k,inst_retired.any:u,migrations,migrations:k,migrations:u
0,/p/multifacet/users/markm/results3/cbmm/i/exp_10__bare_metal__-workload__MemcachedYcsb____size__150__op_count__9400000__read_prop__0.99__update_prop__0.01__-transparent_hugepage_enabled_never_-2021-11-20-14-14-55-253982186.mmu,none,none,620.0765931,340930893666,283550241888,57778141769,10204071,10204071,0,62751607,38875410,24107470,10608634787,838132943,9827292672,14619994,211552,14871302,2245259224,9741984,2223406203,2857,0,2857,303347954628,255086282386,48530011686,0,0,0
0,/p/multifacet/users/markm/results3/cbmm/i/exp_10__bare_metal__-workload__MemcachedYcsb____size__150__op_count__9400000__read_prop__0.99__update_prop__0.01__-transparent_hugepage_enabled_never_-2021-11-20-14-23-04-856139983.mmu,none,none,622.080108,349624988159,278161293075,72276268868,10166859,10166859,0,65889649,41682848,24143526,12176262561,976710691,11204520038,24715687,429183,23931514,3660734556,15461269,3596350067,2345,0,2345,325022824123,256405582617,68237461181,0,0,0
0,/p/multifacet/users/markm/results3/cbmm/i/exp_10__bare_metal__-workload__MemcachedYcsb____size__150__op_count__9400000__read_prop__0.99__update_prop__0.01__-transparent_hugepage_enabled_never_-2021-11-20-14-24-38-735714885.mmu,none,none,599.0734836,346797751735,274508554724,71578891414,10049664,10049664,0,66963308,50752927,24292390,12305405624,1059627801,11297468414,24747748,196402,24078057,3771655301,13577795,3725799355,3627,0,3627,324819729256,256208773514,67595823431,0,0,0
0,/p/multifacet/users/markm/results3/cbmm/i/exp_10__bare_metal__-workload__MemcachedYcsb____size__150__op_count__9400000__read_prop__0.99__update_prop__0.01__-transparent_hugepage_enabled_never_-2021-11-20-14-27-44-393067839.mmu,none,none,649.0871,345199439303,285970532407,60704397212,10216192,10216192,0,78670418,51331642,27418560,11734520798,1252919495,10486284125,14984226,262605,14751433,2313302704,13679461,2263024754,2597,0,2597,304820247198,257040699249,48325555381,0,0,0
0,/p/multifacet/users/markm/results3/cbmm/i/exp_10__bare_metal__-workload__MemcachedYcsb____size__150__op_count__9400000__read_prop__0.99__update_prop__0.01__-transparent_hugepage_enabled_never_-2021-11-20-14-41-28-582216963.mmu,none,none,619.0826946,354104848281,285368532869,69797586929,10089384,10089384,0,63056176,38869663,24140512,9869525860,875134459,8972679591,24221954,180732,24566590,3916827606,9469283,3873610466,3371,0,3371,320574253633,252438208255,68696902235,0,0,0
1,/p/multifacet/users/markm/results3/cbmm/i/exp_10__bare_metal__-workload__MemcachedYcsb____size__150__op_count__9400000__read_prop__0.99__update_prop__0.01__-transparent_hugepage_enabled_never_-transparent_hugepage_huge_addr__Ranges____ranges_-2021-11-20-14-53-45-278411327.mmu,0x0,0x7fd443200000,712.0935426,384378791407,318923272713,64007690890,10409284,10409284,0,61050703,38032233,23253675,7210803859,763630795,6478438623,23899306,345329,23160266,3650651834,10981879,3681457230,28,0,28,320311329405,251167805761,67818116989,0,0,0
1,/p/multifacet/users/markm/results3/cbmm/i/exp_10__bare_metal__-workload__MemcachedYcsb____size__150__op_count__9400000__read_prop__0.99__update_prop__0.01__-transparent_hugepage_enabled_never_-transparent_hugepage_huge_addr__Ranges____ranges_-2021-11-20-14-54-17-654302697.mmu,0x0,0x7fd443200000,654.0895874,355036319699,284497578330,72083719581,10067466,10067466,0,57447854,31294185,26630651,11656028703,818182881,10890441403,24687231,339312,25079446,4075618032,17252359,3977837450,33664,908,32756,323012035079,255228454627,68980094614,0,0,0
1,/p/multifacet/users/markm/results3/cbmm/i/exp_10__bare_metal__-workload__MemcachedYcsb____size__150__op_count__9400000__read_prop__0.99__update_prop__0.01__-transparent_hugepage_enabled_never_-transparent_hugepage_huge_addr__Ranges____ranges_-2021-11-20-15-07-01-145050063.mmu,0x0,0x7fd443200000,576.0795346,341674574576,280381195732,61527153239,10117413,10117413,0,86363337,63667013,24007976,13400951339,1626883871,11780078953,15106134,218638,14274518,2379691317,11315811,2269907386,100,0,100,305411667928,257087152449,48461242287,0,0,0
1,/p/multifacet/users/markm/results3/cbmm/i/exp_10__bare_metal__-workload__MemcachedYcsb____size__150__op_count__9400000__read_prop__0.99__update_prop__0.01__-transparent_hugepage_enabled_never_-transparent_hugepage_huge_addr__Ranges____ranges_-2021-11-20-15-09-36-060307795.mmu,0x0,0x7fd443200000,620.0703463,360682838216,289846341825,70568980408,10066037,10066037,0,58146298,34427744,24018928,11414513796,863406642,10595722275,24196529,149447,23803170,3839285806,7400724,3799634286,42,1,41,323162605130,254307528994,68135731724,0,0,0
1,/p/multifacet/users/markm/results3/cbmm//exp_10__bare_metal__-workload__MemcachedYcsb____size__150__op_count__9400000__read_prop__0.99__update_prop__0.01__-transparent_hugepage_enabled_never_-transparent_hugepage_huge_addr__Ranges____ranges_-2021-11-22-15-44-27-308721963.mmu,0x0,0x7fd443200000,558.0756943,350733371598,278306538017,72940391145,10310884,10310884,0,67974664,44064006,24048995,12626553378,1073871272,11524227724,24037701,245134,23979799,3628608161,12740674,3677398521,27,0,27,327546864276,257973197274,68652283092,0,0,0
2,/p/multifacet/users/markm/results3/cbmm/i/exp_10__bare_metal__-workload__MemcachedYcsb____size__150__op_count__9400000__read_prop__0.99__update_prop__0.01__-transparent_hugepage_enabled_never_-transparent_hugepage_huge_addr__Ranges____ranges_-2021-11-20-15-16-44-937924833.mmu,0x7fd443200000,0x7fd4b5400000,611.0846827,334104619437,274721839574,59643978043,10175710,10175710,0,56889121,33406364,23464696,11869722336,854820457,11033378147,14239832,224556,14653263,2081494142,13364909,2120508314,2593,0,2593,305973511245,257199938651,48298877026,0,0,0
2,/p/multifacet/users/markm/results3/cbmm/i/exp_10__bare_metal__-workload__MemcachedYcsb____size__150__op_count__9400000__read_prop__0.99__update_prop__0.01__-transparent_hugepage_enabled_never_-transparent_hugepage_huge_addr__Ranges____ranges_-2021-11-20-15-17-48-447819839.mmu,0x7fd443200000,0x7fd4b5400000,780.1036449,377351063493,310034537021,68219218603,10391355,10391355,0,61158817,37675181,23776525,9326376859,766450192,8533374957,24539461,364949,23984368,3662341827,12465565,3662034237,2342,0,2342,322478571452,254431441553,68804767022,0,0,0
2,/p/multifacet/users/markm/results3/cbmm/i/exp_10__bare_metal__-workload__MemcachedYcsb____size__150__op_count__9400000__read_prop__0.99__update_prop__0.01__-transparent_hugepage_enabled_never_-transparent_hugepage_huge_addr__Ranges____ranges_-2021-11-20-15-19-22-627158760.mmu,0x7fd443200000,0x7fd4b5400000,628.0807272,346291470159,276861638117,69877178413,10195306,10195306,0,63519510,38125134,25660480,11672207401,864158488,10735492206,24193995,309068,23638450,3532168509,13529884,3539137494,3377,1,3376,324257491794,256212676663,67960638684,0,0,0
2,/p/multifacet/users/markm/results3/cbmm/i/exp_10__bare_metal__-workload__MemcachedYcsb____size__150__op_count__9400000__read_prop__0.99__update_prop__0.01__-transparent_hugepage_enabled_never_-transparent_hugepage_huge_addr__Ranges____ranges_-2021-11-20-15-20-56-750119963.mmu,0x7fd443200000,0x7fd4b5400000,547.0755144,334569165043,273111956509,61241802054,10160929,10160929,0,62205995,39166734,23155144,13029172154,903597531,12155810638,14641385,185992,14281631,2252214565,9619360,2216481449,2600,1,2599,306737048946,257825489268,48187334086,0,0,0
