Sort,Start,End,avg Runtime (s),avg cpu_clk_unhalted.thread_any,avg cpu_clk_unhalted.thread_any:k,avg cpu_clk_unhalted.thread_any:u,avg cs,avg cs:k,avg cs:u,avg dtlb_load_misses.miss_causes_a_walk,avg dtlb_load_misses.miss_causes_a_walk:k,avg dtlb_load_misses.miss_causes_a_walk:u,avg dtlb_load_misses.walk_active,avg dtlb_load_misses.walk_active:k,avg dtlb_load_misses.walk_active:u,avg dtlb_store_misses.miss_causes_a_walk,avg dtlb_store_misses.miss_causes_a_walk:k,avg dtlb_store_misses.miss_causes_a_walk:u,avg dtlb_store_misses.walk_active,avg dtlb_store_misses.walk_active:k,avg dtlb_store_misses.walk_active:u,avg faults,avg faults:k,avg faults:u,avg inst_retired.any,avg inst_retired.any:k,avg inst_retired.any:u,avg migrations,avg migrations:k,avg migrations:u,overall IPC,usermode IPC
0,none,none,802.7035383,1120724736124,284971882448,836558255890,11750003.8,11750003.8,0,580111938.4,37663982.8,542334653.4,114473657072,2916261138,111551719917,65967700.2,27348537.2,38590339.2,3572486749,1036536099,2538363777,11759909.6,16.4,11759893.2,1216038254091,242708023132,974707883312,143,143,0,1.09,0.869
1,0x0,0x7ff2e5400000,867.7041692,1128942744795,304567455606,824799783697,11750894.6,11750894.6,0,620842047.4,44647288,576640344.2,110745442525,3249314198,107510580577,72085582,29112822.2,43150432.4,3737129585,1105216174,2642948422,11912737,15.8,11912721.2,1208539662372,245158630859,962704172581,207,207,0,1.07,0.852
2,0x7ff2e5400000,0x7ff307600000,884.1110881,1213574671144,309831971772,904196851001,11750951.2,11750951.2,0,651519175.4,42288128.8,609291898.8,117874505359,3270021865,114637249434,73571724.4,29768190.8,43747483.2,3714372752,1135877228,2569323301,12355708,17.6,12355690.4,1324913985771,252327847398,1072802016698,213.8,213.8,0,1.09,0.884
3,0x7ff307600000,0x7ff329800000,852.1026697,1177303208262,303667835593,874084164437,11749344.2,11749344.2,0,640696817,41673993.8,599413568.8,126878597985,3549356173,123264715482,69765195.6,29359270.6,40541052.4,3672229157,1113508865,2562368598,11963292.8,16.8,11963276,1253778153050,249639963570,1002956223222,194.8,194.8,0,1.06,0.852
4,0x7ff329800000,0x7ff34ba00000,894.1108396,1192799427429,312049202644,881739691448,11750853,11750853,0,626779082,41023809.8,585860470,120160591689,3434519954,116705823933,71829041.6,29932996.8,41919097.4,3832657890,1133855767,2702764097,12207967,18,12207949,1296190703019,249419234167,1046515208032,212,212,0,1.09,0.877
5,0x7ff34ba00000,0x7ff36dc00000,856.7017682,1160550670567,305707970284,856364415612,11748809.4,11748809.4,0,702284816.8,41115509.4,661315650.6,118674105969,3263310760,115386019265,79754838.8,28507489.2,51143558.8,3784521663,1091543306,2693572983,11887657.8,17.2,11887640.6,1233703526297,247611021263,988058676025,219.8,219.8,0,1.06,0.850
6,0x7ff36dc00000,0x7ff38fe00000,865.1061691,1202787235645,312254071769,890566989922,11750263.6,11750263.6,0,601249596.2,45651849.2,555138745.2,121169707698,3440447176,117660233743,66658881.8,29027181.8,37621099.8,3641259927,1102244600,2538179788,12117626.8,19.6,12117607.2,1309966061254,250492129839,1057785161263,202,202,0,1.09,0.879
7,0x7ff38fe00000,0x7ff3b2000000,843.7048895,1141399012741,301113634171,841537859375,11749544.6,11749544.6,0,608904672.2,46369768.4,563105210.8,119255491169,3121878789,116117333874,70048266.8,31354641.2,38786826.6,3812211000,1193439640,2622049726,11987813.2,15.8,11987797.4,1231546498138,247900922950,983320731740,215.8,215.8,0,1.08,0.861
8,0x7ff3b2000000,0x7ff3d4200000,837.5009674,1136017203405,298352070970,838894785382,11750298.8,11750298.8,0,616815657.4,42991871,574336299.6,120045575635,3328863292,116835751709,70992924.6,28144047,43037607.2,3793708359,1076538901,2737189786,11743092.4,17.2,11743075.2,1206724086070,245950922891,961858829940,209.4,209.4,0,1.06,0.846
9,0x7ff3d4200000,0x7ff3f6400000,886.5113726,1124337707567,307505219454,817525531469,11749129,11749129,0,606440713.6,48642721.2,557497082.2,102487134635,3188275093,99199741440,71019467.6,28790001,41950552.2,3675310564,1100232105,2571191398,11764015.2,16.2,11763999,1220560549343,244988212248,976569588956,215.2,215.2,0,1.09,0.868
