Sort,Data filename,Start,End,Runtime (s),cpu_clk_unhalted.thread_any,cpu_clk_unhalted.thread_any:k,cpu_clk_unhalted.thread_any:u,cs,cs:k,cs:u,dtlb_load_misses.miss_causes_a_walk,dtlb_load_misses.miss_causes_a_walk:k,dtlb_load_misses.miss_causes_a_walk:u,dtlb_load_misses.walk_active,dtlb_load_misses.walk_active:k,dtlb_load_misses.walk_active:u,dtlb_store_misses.miss_causes_a_walk,dtlb_store_misses.miss_causes_a_walk:k,dtlb_store_misses.miss_causes_a_walk:u,dtlb_store_misses.walk_active,dtlb_store_misses.walk_active:k,dtlb_store_misses.walk_active:u,faults,faults:k,faults:u,inst_retired.any,inst_retired.any:k,inst_retired.any:u,migrations,migrations:k,migrations:u
0,/p/multifacet/users/markm/results3/cbmm/h/exp_10__bare_metal__-workload__MongoDB____op_count__9500000__read_prop__0.25__update_prop__0.375__tmpfs_size__null__cache_size__null__-transparent_hugepage_enabled_never_-2021-11-15-17-01-28-632364195.mmu,none,none,8076.148192,6625403318940,1924270921809,4713746599618,15758551,15758551,0,5625750376,1546309082,4082114114,558207637563,67672878488,491364949541,761333243,129229981,632228810,44277480966,5657239216,38824108016,2648139,96533,2551606,4778626734771,1464924910061,3314469406241,0,0,0
0,/p/multifacet/users/markm/results3/cbmm/h/exp_10__bare_metal__-workload__MongoDB____op_count__9500000__read_prop__0.25__update_prop__0.375__tmpfs_size__null__cache_size__null__-transparent_hugepage_enabled_never_-2021-11-15-17-01-29-075426323.mmu,none,none,7048.998875,6551496146984,1855394073231,4695289505488,15484749,15484749,0,5015758419,916818573,4095334475,550147632797,54316838791,494190772697,673014489,62856319,610651318,42225436061,3877284570,38195106449,754974,27236,727738,4748884577166,1445564111666,3298773774726,0,0,0
0,/p/multifacet/users/markm/results3/cbmm/h/exp_10__bare_metal__-workload__MongoDB____op_count__9500000__read_prop__0.25__update_prop__0.375__tmpfs_size__null__cache_size__null__-transparent_hugepage_enabled_never_-2021-11-15-17-01-29-547045651.mmu,none,none,7654.100268,6609406509352,1904832471759,4711825832464,15673976,15673976,0,5658689767,1574899432,4091606360,564943242967,70713582710,495268430982,750095880,123227662,630739864,44554310326,5819849958,38895441074,1469348,73358,1395990,4768447687151,1461684598964,3307964687339,0,0,0
0,/p/multifacet/users/markm/results3/cbmm/h/exp_10__bare_metal__-workload__MongoDB____op_count__9500000__read_prop__0.25__update_prop__0.375__tmpfs_size__null__cache_size__null__-transparent_hugepage_enabled_never_-2021-11-15-17-01-30-009175457.mmu,none,none,7689.079672,6558353928248,1905981632732,4660469243497,15418307,15418307,0,5584063077,1518284890,4076981079,552121909765,68129622188,484579884915,699920310,78147845,622231379,42405299535,4382254786,38123852051,644510,30378,614132,4755384909471,1452513638510,3303846649078,0,0,0
0,/p/multifacet/users/markm/results3/cbmm/h/exp_10__bare_metal__-workload__MongoDB____op_count__9500000__read_prop__0.25__update_prop__0.375__tmpfs_size__null__cache_size__null__-transparent_hugepage_enabled_never_-2021-11-15-17-01-30-417254901.mmu,none,none,8630.227858,6601939114587,1939636854038,4661547132149,15652108,15652108,0,5008529095,924329630,4082127434,535062302205,55264516244,479396282525,691643209,86651404,605950452,41586939016,4561801624,36967450584,913671,62687,850984,4858473145836,1480151751017,3371771422132,0,0,0
1,/p/multifacet/users/markm/results3/cbmm/j/exp_10__bare_metal__-workload__MongoDB____op_count__9500000__read_prop__0.25__update_prop__0.375__tmpfs_size__null__cache_size__null__-transparent_hugepage_enabled_never_-transparent_hugepage_huge_add-2021-11-23-13-31-02-710371258.mmu,0x0,0xba55fe00000,8402.219992,6620746698621,1973197698635,4653785729675,16020920,16020920,0,5676047845,1455069017,4222880656,563768295530,71727884663,491541038307,669204705,55305095,613843947,41722181598,3577002894,38157949896,1015459,40825,974634,4815290674258,1492877216317,3322831681952,0,0,0
1,/p/multifacet/users/markm/results3/cbmm/j/exp_10__bare_metal__-workload__MongoDB____op_count__9500000__read_prop__0.25__update_prop__0.375__tmpfs_size__null__cache_size__null__-transparent_hugepage_enabled_never_-transparent_hugepage_huge_add-2021-11-23-13-31-05-244065623.mmu,0x0,0xba55fe00000,6772.983864,6557206014545,1919656475748,4643795051122,15635757,15635757,0,6049421210,1950946069,4105498856,557216359245,71902950276,485384715536,743697834,127084431,618241076,42533572383,4827846214,37908254276,593207,27127,566080,4746053710500,1466764889194,3271810869266,0,0,0
1,/p/multifacet/users/markm/results3/cbmm/j/exp_10__bare_metal__-workload__MongoDB____op_count__9500000__read_prop__0.25__update_prop__0.375__tmpfs_size__null__cache_size__null__-transparent_hugepage_enabled_never_-transparent_hugepage_huge_add-2021-11-24-02-36-21-713147355.mmu,0x0,0xba55fe00000,7892.104998,6539920234288,1899243174363,4641442715258,15830463,15830463,0,5177030900,1161535930,4013968800,547212335643,61699121472,484652856286,696256839,93938281,603502548,41452328417,4819307508,36573035877,699699,30831,668868,4751475028600,1462432565705,3288700420944,0,0,0
1,/p/multifacet/users/markm/results3/cbmm/j/exp_10__bare_metal__-workload__MongoDB____op_count__9500000__read_prop__0.25__update_prop__0.375__tmpfs_size__null__cache_size__null__-transparent_hugepage_enabled_never_-transparent_hugepage_huge_add-2021-11-24-02-36-22-103270215.mmu,0x0,0xba55fe00000,8066.097693,6642409307322,2008893228076,4638831320209,15911520,15911520,0,6028654833,1813141712,4224337998,568681008763,79490419362,490331048797,694828859,85166622,610989219,41879240841,5425772045,36698558317,621953,29766,592187,4833537470088,1513731885554,3320778360726,0,0,0
1,/p/multifacet/users/markm/results3/cbmm/j/exp_10__bare_metal__-workload__MongoDB____op_count__9500000__read_prop__0.25__update_prop__0.375__tmpfs_size__null__cache_size__null__-transparent_hugepage_enabled_never_-transparent_hugepage_huge_add-2021-11-23-14-51-17-573917516.mmu,0x0,0xba55fe00000,7115.019957,6610545570976,1906591097688,4712879850397,15853824,15853824,0,5772039901,1789015957,3987042340,559516662883,70151035309,489018820040,661304476,62059543,601194986,41413768511,4167073767,37202011320,674702,27363,647339,4775810080579,1465462019062,3310308468216,0,0,0
