Mean,Std,Median,Max,Min,workload,kernel,fragmentation,Data...,,,,,,,,
12516758,2.69%,12358456,12969027,12210337,canneal,CBMM-tuned,false,12358456,12268796,12210337,12777172,12969027,,,,
13168247,0.30%,13145240,13235599,13142981,canneal,CBMM-tuned,true,13235599,13142981,13143201,13174214,13145240,,,,
12758343,0.94%,12794108,12860552,12578941,canneal,CBMM,false,12700874,12860552,12578941,12857242,12794108,,,,
15978715,0.71%,16006412,16108462,15805831,canneal,CBMM,true,16006412,15805831,16027374,15945497,16108462,,,,
17951968,2.20%,17803087,18652021,17688720,canneal,HawkEye,true,17766894,18652021,17849116,17803087,17688720,,,,
13464719,15.55%,12640779,17194884,12236683,canneal,Linux4.3,false,12750403,12640779,17194884,12500845,12236683,,,,
11091212,0.21%,11099385,11107902,11049389,canneal,Linux,false,11049389,11099385,11097581,11101802,11107902,,,,
25064571,24.84%,24179279,31546152,18676957,canneal,Linux,true,19498262,31546152,31422205,24179279,18676957,,,,
790470,0.14%,789990,792422,789853,mcf,CBMM-tuned,false,789853,790160,789926,789990,792422,,,,
886936,1.14%,888307,900157,871837,mcf,CBMM-tuned,true,885857,871837,888524,888307,900157,,,,
800259,0.45%,801014,805237,796305,mcf,CBMM,false,801014,796305,801538,805237,797199,,,,
1118956,2.09%,1115562,1151712,1088652,mcf,CBMM,true,1151712,1109946,1115562,1088652,1128906,,,,
889092,0.09%,888805,890540,888511,mcf,HawkEye,false,890540,888579,888805,888511,889025,,,,
949008,4.91%,918093,1010442,914069,mcf,HawkEye,true,1010442,914069,988031,914405,918093,,,,
887340,0.13%,887477,888575,886002,mcf,Linux4.3,false,888352,886155,888575,886789,888164,886002,,,
793405,0.38%,792446,798524,791148,mcf,Linux,false,793711,792446,791196,798524,791148,,,,
825841,2.78%,818730,851777,799576,mcf,Linux,true,847795,811327,818730,799576,851777,,,,
596874,10.51%,623839,647619,490622,memcached,CBMM,false,630241,592050,623839,490622,647619,,,,
604007,8.14%,605111,667015,554477,memcached,CBMM,true,667015,557095,605111,636337,554477,,,,
918482,1.00%,917925,932138,906249,memcached,HawkEye,false,917685,906249,932138,918412,917925,,,,
936083,1.64%,930073,959711,919852,memcached,HawkEye,true,959711,928985,930073,941794,919852,,,,
1548540,97.90%,917354,4258180,779896,memcached,Linux4.3,false,851381,917354,779896,935891,4258180,,,,
583528,4.25%,588271,614714,550191,memcached,Linux,false,569103,588271,614714,550191,595363,,,,
2554422,70.29%,3068077,4288828,613764,memcached,Linux,true,613764,4288828,4104984,696456,3068077,,,,
1208547,1.37%,1212311,1232446,1190929,mix,CBMM-tuned,false,1194290,1232446,1190929,1212311,1213552,1191893,1224410,,
1189576,2.82%,1188898,1237275,1140052,mix,CBMM-tuned,true,1140052,1192358,1233182,1237275,1163217,1213691,1178530,1188898,1158979
1626838,54.67%,1239448,3216302,1194835,mix,CBMM,false,1239448,1194835,1196346,3216302,1287258,,,,
1208697,1.92%,1210580,1240551,1179595,mix,CBMM,true,1194544,1218214,1210580,1179595,1240551,,,,
1080586,3.49%,1093260,1125502,1036225,mix,HawkEye,false,1093260,1101048,1125502,1046893,1036225,,,,
1185162,4.54%,1165822,1258089,1132720,mix,HawkEye,true,1165822,1258089,1145042,1224135,1132720,,,,
1207886,17.31%,1155139,1569357,1045982,mix,Linux4.3,false,1569357,1087887,1155139,1181063,1045982,,,,
1148543,2.89%,1165992,1182606,1104357,mix,Linux,false,1122980,1104357,1165992,1182606,1166781,,,,
2701408,87.16%,1830218,6836263,1136375,mix,Linux,true,1830218,1390597,1136375,6836263,2313586,,,,
7640437,11.34%,7234475,8935884,7156914,mongodb,CBMM,false,7156914,7302544,7166406,8935884,,,,,
7599180,7.16%,7405001,8249060,6952060,mongodb,CBMM,true,6952060,8072923,8249060,7405001,7316854,,,,
7697941,4.52%,7806818,8112137,7249711,mongodb,HawkEye,false,7440710,7249711,7880329,7806818,8112137,,,,
7990321,2.72%,7957349,8254940,7724684,mongodb,HawkEye,true,8159385,7724684,7855247,7957349,8254940,,,,
7963352,10.43%,7883456,8826068,6873700,mongodb,Linux4.3,false,6873700,8738435,8826068,7495102,7883456,,,,
8514452,15.26%,8376184,10056132,6832684,mongodb,Linux,false,9517874,8376184,7789386,10056132,6832684,,,,
8242531,14.28%,8134610,9823626,6562279,mongodb,Linux,true,9823626,8134610,8652307,8039834,6562279,,,,
91053,0.33%,91213,91337,90723,thp-ubmk,HawkEye,false,90730,91337,91264,91213,90723,,,,
104745,0.48%,104721,105452,104171,thp-ubmk,HawkEye,true,104171,104388,104991,104721,105452,,,,
1266772,2.13%,1277651,1295703,1236282,thp-ubmk,Linux4.3,false,1295703,1236282,1240020,1277651,1284206,,,,
72644,0.20%,72693,72757,72400,thp-ubmk,Linux,false,72400,72693,72754,72757,72617,,,,
447839,73.79%,299619,927601,125456,thp-ubmk,Linux,true,644098,242421,125456,299619,927601,,,,
10717514,0.31%,10716475,10760598,10680553,xz,CBMM,false,10691652,10760598,10738293,10716475,10680553,,,,
10962205,0.17%,10958443,10987397,10941155,xz,CBMM,true,10950310,10941155,10958443,10973718,10987397,,,,
11903945,0.04%,11903006,11910311,11898728,xz,HawkEye,false,11907915,11899766,11898728,11903006,11910311,,,,
11943826,0.11%,11946072,11959536,11929582,xz,HawkEye,true,11932671,11951268,11946072,11959536,11929582,,,,
14561554,21.33%,13366284,18911563,11252910,xz,Linux4.3,false,13366284,11252910,16545774,18911563,12731240,,,,
10543703,0.46%,10527982,10628118,10504022,xz,Linux,false,10519470,10504022,10527982,10538922,10628118,,,,
10463460,8.42%,10594432,11708435,9338599,xz,Linux,true,9991176,11708435,10594432,9338599,10684658,,,,
