workload,kernel,fragmentation,smaps file,Efficiency
xz,Linux,Unfragmented,/p/multifacet/users/markm/results3/cbmm/exp_10__bare_metal__-workload__Spec2017Xz____spec_input__false__size__76800__-2021-11-16-21-53-10-314774925.,1.000
xz,Linux,Fragmented,/p/multifacet/users/markm/results3/cbmm/exp_10__bare_metal__-workload__Spec2017Xz____spec_input__false__size__76800__-fragmentation100-2021-11-16-21-53-28-017432491.,0.791
xz,CBMM,Unfragmented,/p/multifacet/users/markm/results3/cbmm/exp_10__bare_metal__-workload__Spec2017Xz____spec_input__false__size__76800__-2021-12-15-13-04-03-573315201.,0.163
xz,CBMM,Fragmented,/p/multifacet/users/markm/results3/cbmm/exp_10__bare_metal__-workload__Spec2017Xz____spec_input__false__size__76800__-fragmentation100-2021-12-15-13-04-14-457755945.,0.001
xz,HawkEye,Unfragmented,/p/multifacet/users/markm/results3/cbmm/exp_10__bare_metal__-workload__Spec2017Xz____spec_input__false__size__76800__-2021-11-30-11-29-14-806937029.,0.529
xz,HawkEye,Fragmented,/p/multifacet/users/markm/results3/cbmm/exp_10__bare_metal__-workload__Spec2017Xz____spec_input__false__size__76800__-fragmentation100-2021-12-07-18-16-09-712339937.,0.004
mcf,Linux,Unfragmented,/p/multifacet/users/markm/results3/cbmm/exp_10__bare_metal__-workload_Spec2017Mcf_-2021-11-12-14-02-15-569076197.,1.000
mcf,Linux,Fragmented,/p/multifacet/users/markm/results3/cbmm/exp_10__bare_metal__-workload_Spec2017Mcf_-fragmentation100-2021-11-12-14-03-07-124432385.,1.000
mcf,CBMM,Unfragmented,/p/multifacet/users/markm/results3/cbmm/exp_10__bare_metal__-workload_Spec2017Mcf_-2021-12-15-13-06-34-865971874.,0.985
mcf,CBMM,Fragmented,/p/multifacet/users/markm/results3/cbmm/exp_10__bare_metal__-workload_Spec2017Mcf_-fragmentation100-2021-12-15-13-06-45-677901404.,0.030
mcf,CBMM-tuned,Unfragmented,/p/multifacet/users/markm/results3/cbmm/exp_10__bare_metal__-workload_Spec2017Mcf_-2022-01-06-20-18-46-277388227.smaps,1.000
mcf,CBMM-tuned,Fragmented,/p/multifacet/users/markm/results3/cbmm/exp_10__bare_metal__-workload_Spec2017Mcf_-fragmentation100-2022-01-06-20-19-02-747865238.smaps,0.034
mcf,HawkEye,Unfragmented,/p/multifacet/users/markm/results3/cbmm/exp_10__bare_metal__-workload_Spec2017Mcf_-2021-11-30-11-29-15-108332958.,0.999
mcf,HawkEye,Fragmented,/p/multifacet/users/markm/results3/cbmm/exp_10__bare_metal__-workload_Spec2017Mcf_-fragmentation100-2021-12-07-18-16-09-977014423.,0.098
canneal,Linux,Unfragmented,/p/multifacet/users/markm/results3/cbmm/exp_10__bare_metal__-workload__Canneal____workload____Rand____size__530000000__uniform_dist__true__seed__null____-2021-11-12-14-03-22-398744992.*,1.000
canneal,Linux,Fragmented,/p/multifacet/users/markm/results3/cbmm/exp_10__bare_metal__-workload__Canneal____workload____Rand____size__530000000__uniform_dist__true__seed__null____-fragmentation100-2021-11-12-14-03-33-525260679.*,0.933
canneal,CBMM,Unfragmented, /p/multifacet/users/markm/results3/cbmm/exp_10__bare_metal__-workload__Canneal____workload____Rand____size__530000000__uniform_dist__true__seed__null____-2021-12-17-09-37-13-683446082.,0.279
canneal,CBMM,Fragmented,/p/multifacet/users/markm/results3/cbmm/exp_10__bare_metal__-workload__Canneal____workload____Rand____size__530000000__uniform_dist__true__seed__null____-fragmentation100-2021-12-15-13-07-04-791874036.,0.000
canneal,CBMM-tuned,Unfragmented,/p/multifacet/users/markm/results3/cbmm/exp_10__bare_metal__-workload__Canneal____workload____Rand____size__530000000__uniform_dist__true__seed__null____-2022-01-07-15-49-50-216695953.smaps,0.468
canneal,CBMM-tuned,Fragmented,/p/multifacet/users/markm/results3/cbmm/exp_10__bare_metal__-workload__Canneal____workload____Rand____size__530000000__uniform_dist__true__seed__null____-fragmentation100-2022-01-07-15-49-58-256837308.smaps,0.244
canneal,HawkEye,Fragmented,/p/multifacet/users/markm/results3/cbmm/exp_10__bare_metal__-workload__Canneal____workload____Rand____size__530000000__uniform_dist__true__seed__null____-fragmentation100-2021-12-02-12-02-13-629598168.,0.002
mongodb,Linux,Unfragmented,/p/multifacet/users/markm/results3/cbmm/exp_10__bare_metal__-workload__MongoDB____op_count__9500000__read_prop__0.25__update_prop__0.375__tmpfs_size__null__cache_size__null__-2021-11-12-14-04-06-900278940.*,0.065
mongodb,Linux,Fragmented,/p/multifacet/users/markm/results3/cbmm/exp_10__bare_metal__-workload__MongoDB____op_count__9500000__read_prop__0.25__update_prop__0.375__tmpfs_size__null__cache_size__null__-fragmentation100-2021-11-12-14-04-16-617654420.*,0.041
mongodb,CBMM,Unfragmented,/p/multifacet/users/markm/results3/cbmm/exp_10__bare_metal__-workload__MongoDB____op_count__9500000__read_prop__0.25__update_prop__0.375__tmpfs_size__null__cache_size__null__-2021-12-15-21-52-48-849514082.,0.447
mongodb,CBMM,Fragmented,/p/multifacet/users/markm/results3/cbmm/exp_10__bare_metal__-workload__MongoDB____op_count__9500000__read_prop__0.25__update_prop__0.375__tmpfs_size__null__cache_size__null__-fragmentation100-2021-12-15-13-07-32-422036429.,0.014
mongodb,HawkEye,Unfragmented,/p/multifacet/users/markm/results3/cbmm/exp_10__bare_metal__-workload__MongoDB____op_count__9500000__read_prop__0.25__update_prop__0.375__tmpfs_size__null__cache_size__null__-2021-12-02-12-02-28-205562367.,0.002
mongodb,HawkEye,Fragmented,/p/multifacet/users/markm/results3/cbmm/exp_10__bare_metal__-workload__MongoDB____op_count__9500000__read_prop__0.25__update_prop__0.375__tmpfs_size__null__cache_size__null__-fragmentation100-2021-11-30-13-17-32-717101357.,0.002
memcached,Linux,Unfragmented,/p/multifacet/users/markm/results3/cbmm/exp_10__bare_metal__-workload__MemcachedYcsb____size__150__op_count__9400000__read_prop__0.99__update_prop__0.01__-2021-11-12-14-04-57-763405663.,1.000
